UID_01,BIOCHEMICAL,BIOCHEMICAL_NAME1,BIOCHEMICAL_NAME2,BIOCHEMICAL_NAME3,NCI_METABOLON_NAME1,NCI_METABOLON_NAME2,NCI_METABOLON_NAME3,ABC_BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_BATCH1_METABOLON_NAME,ARIC_BATCH2_METABOLON_NAME,UCLEB_NMR_NAME,SHANGHAI_CHD_METABOLON_NAME,HCI_WCMC_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
CHEM100002003,21-hydroxypregnenolone monosulfate (1)*,21-hydroxypregnenolone monosulfate (1)*,,,_21_hydroxypregnenolone_monos,,,,,,,21-hydroxypregnenolone monosulfate (1),,,,,,,100002003,37174,174681,,,,,88378-34-1,,LIPID,STEROL/STEROID,
CHEM100002004,21-hydroxypregnenolone monosulfate (2),21-hydroxypregnenolone monosulfate (2),,,_21_hydroxypregnenolone_mono2,,,,,,,21-hydroxypregnenolone monosulfate (2),,,,,,,100002004,37175,10670474,,,,,,,LIPID,STEROL/STEROID,
COMP37176,21-hydroxypregnenolone monosulfate 3*,21-hydroxypregnenolone monosulfate 3*,,,_21_hydroxypregnenolone_mono3,,,,,,,,,,,,,,,37176,,,,,,,,LIPID,STEROL/STEROID,
CHEM100006247,"3,4-dimethoxy-hydrocinnamic acid","3,4-dimethoxy-hydrocinnamic acid",,,_3_4_dimethoxy_hydrocinnamic,,,,,,,,,,,,,,100006247,48778,75019,,,,,2107-70-2,,AMINO ACID,PHENYLALANINE & TYROSINE METABOLISM,
CHEM100001976,"3,4-dimethoxycinnamic acid","3,4-dimethoxycinnamic acid",,,_3_4_dimethoxycinnamic_acid,,,,,,,,,,,,,,100001976,37454,717531,,,,,2316-26-9,,XENOBIOTICS,FOOD COMPONENT/PLANT,
CHEM100006651,"3,4-methyleneheptanoate","3,4-methyleneheptanoate",,,_3_4_methyleneheptanoate,,,,,,,,,,,,,,100006651,53026,,,,,,,,XENOBIOTICS,FOOD COMPONENT/PLANT,
COMP52929,"3,4-methyleneheptanoylcarnitine","3,4-methyleneheptanoylcarnitine",,,_3_4_methyleneheptanoylcarnit,,,,,,,,,,,,,,,52929,,,,,,,,LIPID,CARNITINE METABOLISM,
HMDB13677,"3,5-dihydroxybenzoic acid","3,5-dihydroxybenzoic acid",,,_3_5_dihydroxybenzoic_acid,,,,,,,,,,,HMDB13677,HMDB13677,,100002054,37508,7424,,,,,99-10-5,,XENOBIOTICS,FOOD COMPONENT/PLANT,
PUBCHEM16069996,"3,6-anhydro-D-galactose","3,6-anhydro-D-galactose",,,,,,,,,,,,,"3,6-anhydro-D-galactose",,,,,,16069996,,27861,"InChI=1S/C6H10O5/c7-1-3(8)6-5(10)4(9)2-11-6/h1,3-6,8-10H,2H2/t3-,4+,5-,6+/m0/s1",WZYRMLAWNVOIEX-BGPJRJDNSA-N,,,,,
PUBCHEM446781,"3,6-anhydro-D-glucose","3,6-anhydro-D-glucose",,,,,,,,,,,,,"3,6-anhydro-D-glucose",,,,,,446781,,,"InChI=1S/C28H37N11O18P2/c29-13-1-3-37(27(45)35-13)25-18(43)20(10(5-40)53-25)56-59(49,50)52-7-12-21(19(44)26(55-12)38-4-2-14(30)36-28(38)46)57-58(47,48)51-6-11-16(41)17(42)24(54-11)39-9-34-15-22(31)32-8-33-23(15)39/h1-4,8-12,16-21,24-26,40-44H,5-7H2,(H,47,48)(H,49,50)(H2,29,35,45)(H2,30,36,46)(H2,31,32,33)/t10-,11-,12-,16-,17-,18-,19-,20",SYSZGJKBOHEMPB-FIVCZYLNSA-N,,,,,
